vacc_date,Bundesland,viert_praxen
2021-11-19,Sachsen-Anhalt,NA
2021-11-19,Thüringen,NA
2021-11-20,Baden-Württemberg,NA
2021-11-20,Bayern,NA
2021-11-20,Hessen,NA
2021-11-20,Niedersachsen,NA
2021-11-20,Sachsen-Anhalt,NA
2021-11-21,Bayern,NA
2021-11-21,Berlin,NA
2021-11-21,Nordrhein-Westfalen,NA
2021-11-22,Baden-Württemberg,NA
2021-11-22,Bayern,NA
2021-11-22,Brandenburg,NA
2021-11-22,Bremen,NA
2021-11-22,Sachsen-Anhalt,NA
2021-11-23,Baden-Württemberg,NA
2021-11-23,Bayern,NA
2021-11-23,Hessen,NA
2021-11-23,Mecklenburg-Vorpommern,NA
2021-11-23,Niedersachsen,NA
2021-11-23,Rheinland-Pfalz,NA
2021-11-23,Schleswig-Holstein,NA
2021-11-24,Baden-Württemberg,NA
2021-11-24,Bayern,NA
2021-11-24,Brandenburg,NA
2021-11-24,Hessen,NA
2021-11-24,Mecklenburg-Vorpommern,NA
2021-11-24,Nordrhein-Westfalen,NA
2021-11-24,Rheinland-Pfalz,NA
2021-11-24,Sachsen,NA
2021-11-24,Sachsen-Anhalt,NA
2021-11-25,Baden-Württemberg,NA
2021-11-25,Bayern,NA
2021-11-25,Hessen,NA
2021-11-25,Niedersachsen,NA
2021-11-25,Nordrhein-Westfalen,NA
2021-11-25,Sachsen,NA
2021-11-25,Sachsen-Anhalt,NA
2021-11-25,Thüringen,NA
2021-11-26,Baden-Württemberg,NA
2021-11-26,Bayern,NA
2021-11-26,Brandenburg,NA
2021-11-26,Hessen,NA
2021-11-26,Mecklenburg-Vorpommern,NA
2021-11-26,Niedersachsen,NA
2021-11-26,Nordrhein-Westfalen,NA
2021-11-26,Rheinland-Pfalz,NA
2021-11-26,Sachsen-Anhalt,NA
2021-11-26,Schleswig-Holstein,NA
2021-11-26,Thüringen,NA
2021-11-27,Bayern,NA
2021-11-27,Hessen,NA
2021-11-27,Niedersachsen,NA
2021-11-27,Nordrhein-Westfalen,NA
2021-11-27,Thüringen,NA
2021-11-28,Bayern,NA
2021-11-28,Rheinland-Pfalz,NA
2021-11-29,Baden-Württemberg,NA
2021-11-29,Bayern,NA
2021-11-29,Bremen,NA
2021-11-29,Bundesressorts,NA
2021-11-29,Hessen,NA
2021-11-29,Niedersachsen,NA
2021-11-29,Nordrhein-Westfalen,NA
2021-11-29,Rheinland-Pfalz,NA
2021-11-30,Baden-Württemberg,NA
2021-11-30,Bayern,NA
2021-11-30,Berlin,NA
2021-11-30,Brandenburg,NA
2021-11-30,Hessen,NA
2021-11-30,Niedersachsen,NA
2021-11-30,Rheinland-Pfalz,NA
2021-11-30,Schleswig-Holstein,NA
2021-11-30,Thüringen,NA
2021-12-01,Baden-Württemberg,NA
2021-12-01,Bayern,NA
2021-12-01,Berlin,NA
2021-12-01,Hessen,NA
2021-12-01,Mecklenburg-Vorpommern,NA
2021-12-01,Nordrhein-Westfalen,NA
2021-12-01,Rheinland-Pfalz,NA
