Bundesland,date,Impfserie1,Impfserie2,Impfserie3,Impfserie4
Schleswig-Holstein,2021-05-10,11649,9753,NA,NA
Hamburg,2021-05-10,8281,3307,NA,NA
Niedersachsen,2021-05-10,45604,14626,NA,NA
Bremen,2021-05-10,3198,2330,NA,NA
Nordrhein-Westfalen,2021-05-10,97088,32474,NA,NA
Hessen,2021-05-10,34072,11986,NA,NA
Rheinland-Pfalz,2021-05-10,19527,12550,NA,NA
Baden-Württemberg,2021-05-10,50080,24291,NA,NA
Bayern,2021-05-10,66298,27140,NA,NA
Saarland,2021-05-10,6850,2215,NA,NA
Berlin,2021-05-10,18865,7603,NA,NA
Brandenburg,2021-05-10,8749,8024,NA,NA
Mecklenburg-Vorpommern,2021-05-10,8685,4012,NA,NA
Sachsen,2021-05-10,12079,13997,NA,NA
Sachsen-Anhalt,2021-05-10,9584,8575,NA,NA
Thüringen,2021-05-10,8467,8007,NA,NA
NA,2021-05-10,2369,1269,NA,NA
Schleswig-Holstein,2021-05-11,28252,14234,NA,NA
Hamburg,2021-05-11,17148,4576,NA,NA
Niedersachsen,2021-05-11,88647,23123,NA,NA
Bremen,2021-05-11,6931,2983,NA,NA
Nordrhein-Westfalen,2021-05-11,202494,49492,NA,NA
Hessen,2021-05-11,64701,17035,NA,NA
Rheinland-Pfalz,2021-05-11,42958,16790,NA,NA
Baden-Württemberg,2021-05-11,104322,47500,NA,NA
Bayern,2021-05-11,141865,42092,NA,NA
Saarland,2021-05-11,12163,3641,NA,NA
Berlin,2021-05-11,41308,12161,NA,NA
Brandenburg,2021-05-11,23946,14071,NA,NA
Mecklenburg-Vorpommern,2021-05-11,18781,7178,NA,NA
Sachsen,2021-05-11,28965,20303,NA,NA
Sachsen-Anhalt,2021-05-11,22111,11660,NA,NA
Thüringen,2021-05-11,20168,10726,NA,NA
NA,2021-05-11,3064,1504,NA,NA
Schleswig-Holstein,2021-05-12,39916,16962,NA,NA
Hamburg,2021-05-12,19621,6733,1,NA
Niedersachsen,2021-05-12,106840,35248,NA,NA
Bremen,2021-05-12,7460,3647,NA,NA
Nordrhein-Westfalen,2021-05-12,254017,75429,NA,NA
Hessen,2021-05-12,83286,24438,NA,NA
Rheinland-Pfalz,2021-05-12,53381,20824,NA,NA
Baden-Württemberg,2021-05-12,138631,53555,NA,NA
Bayern,2021-05-12,182796,46932,NA,NA
Saarland,2021-05-12,13264,4684,NA,NA
Berlin,2021-05-12,48647,14399,NA,NA
Brandenburg,2021-05-12,25562,18930,NA,NA
Mecklenburg-Vorpommern,2021-05-12,23439,10643,NA,NA
Sachsen,2021-05-12,41482,20218,NA,NA
Sachsen-Anhalt,2021-05-12,26024,11354,NA,NA
Thüringen,2021-05-12,26973,7479,NA,NA
NA,2021-05-12,4495,1878,NA,NA
Schleswig-Holstein,2021-05-13,7835,6469,NA,NA
Hamburg,2021-05-13,5781,3576,NA,NA
Niedersachsen,2021-05-13,19834,15536,NA,NA
Bremen,2021-05-13,3343,1808,NA,NA
Nordrhein-Westfalen,2021-05-13,50621,42708,NA,NA
Hessen,2021-05-13,22839,11481,NA,NA
Rheinland-Pfalz,2021-05-13,9230,7628,NA,NA
Baden-Württemberg,2021-05-13,41503,23611,NA,NA
Bayern,2021-05-13,49702,19215,NA,NA
Saarland,2021-05-13,3716,2554,NA,NA
Berlin,2021-05-13,11445,6016,NA,NA
Brandenburg,2021-05-13,6575,199,NA,NA
Mecklenburg-Vorpommern,2021-05-13,3975,2198,NA,NA
Sachsen,2021-05-13,12357,6953,NA,NA
Sachsen-Anhalt,2021-05-13,2434,2168,NA,NA
Thüringen,2021-05-13,7991,2596,NA,NA
NA,2021-05-13,47,39,NA,NA
Schleswig-Holstein,2021-05-14,13741,10681,NA,NA
Hamburg,2021-05-14,9484,4116,NA,NA
Niedersachsen,2021-05-14,55980,15410,NA,NA
Bremen,2021-05-14,4374,2910,NA,NA
Nordrhein-Westfalen,2021-05-14,126154,52244,NA,NA
Hessen,2021-05-14,36555,13755,NA,NA
Rheinland-Pfalz,2021-05-14,20967,15746,NA,NA
Baden-Württemberg,2021-05-14,70308,33857,NA,NA
Bayern,2021-05-14,97630,30204,NA,NA
Saarland,2021-05-14,6406,3253,NA,NA
Berlin,2021-05-14,19651,8978,NA,NA
Brandenburg,2021-05-14,11493,8306,NA,NA
Mecklenburg-Vorpommern,2021-05-14,9372,3376,NA,NA
Sachsen,2021-05-14,15392,9909,NA,NA
Sachsen-Anhalt,2021-05-14,9270,6013,NA,NA
Thüringen,2021-05-14,11508,3507,NA,NA
NA,2021-05-14,271,229,NA,NA
Schleswig-Holstein,2021-05-15,6641,7129,NA,NA
Hamburg,2021-05-15,2875,3133,NA,NA
Niedersachsen,2021-05-15,27493,11115,NA,NA
Bremen,2021-05-15,1013,2414,NA,NA
Nordrhein-Westfalen,2021-05-15,55170,44096,NA,NA
Hessen,2021-05-15,17903,12823,NA,NA
Rheinland-Pfalz,2021-05-15,7536,4182,NA,NA
Baden-Württemberg,2021-05-15,30274,25717,NA,NA
Bayern,2021-05-15,46058,21063,NA,NA
Saarland,2021-05-15,3844,2398,NA,NA
Berlin,2021-05-15,10031,6583,NA,NA
Brandenburg,2021-05-15,6581,5049,NA,NA
Mecklenburg-Vorpommern,2021-05-15,1960,1641,NA,NA
Sachsen,2021-05-15,10891,7836,NA,NA
Sachsen-Anhalt,2021-05-15,1846,3532,NA,NA
Thüringen,2021-05-15,4017,756,NA,NA
NA,2021-05-15,1,1,NA,NA
Schleswig-Holstein,2021-05-16,5368,6646,NA,NA
Hamburg,2021-05-16,3505,3181,NA,NA
Niedersachsen,2021-05-16,4951,2638,NA,NA
Bremen,2021-05-16,657,950,NA,NA
Nordrhein-Westfalen,2021-05-16,39078,36463,NA,NA
Hessen,2021-05-16,15830,10659,NA,NA
Rheinland-Pfalz,2021-05-16,5956,1276,NA,NA
Baden-Württemberg,2021-05-16,25491,22388,NA,NA
Bayern,2021-05-16,32300,16138,NA,NA
Saarland,2021-05-16,322,756,NA,NA
Berlin,2021-05-16,8736,6211,NA,NA
Brandenburg,2021-05-16,21,3,NA,NA
Mecklenburg-Vorpommern,2021-05-16,4,1,NA,NA
Sachsen,2021-05-16,10955,7413,NA,NA
Sachsen-Anhalt,2021-05-16,1515,453,NA,NA
Thüringen,2021-05-16,3763,244,NA,NA
NA,2021-05-16,1,NA,NA,NA
Schleswig-Holstein,2021-05-17,12828,9242,NA,NA
Hamburg,2021-05-17,7823,6914,NA,NA
Niedersachsen,2021-05-17,34450,11423,NA,NA
Bremen,2021-05-17,1869,2830,NA,NA
Nordrhein-Westfalen,2021-05-17,79427,43824,NA,NA
Hessen,2021-05-17,27444,11244,NA,NA
Rheinland-Pfalz,2021-05-17,16383,12742,NA,NA
Baden-Württemberg,2021-05-17,41387,30988,NA,NA
Bayern,2021-05-17,62217,25764,NA,NA
Saarland,2021-05-17,3035,4666,NA,NA
Berlin,2021-05-17,17226,9443,NA,NA
Brandenburg,2021-05-17,7892,6528,NA,NA
Mecklenburg-Vorpommern,2021-05-17,6315,2894,NA,NA
Sachsen,2021-05-17,15211,10103,NA,NA
Sachsen-Anhalt,2021-05-17,8578,4713,NA,NA
Thüringen,2021-05-17,7722,4029,NA,NA
NA,2021-05-17,2879,1616,NA,NA
Schleswig-Holstein,2021-05-18,22321,14055,NA,NA
Hamburg,2021-05-18,8918,10787,NA,NA
Niedersachsen,2021-05-18,48113,37148,NA,NA
Bremen,2021-05-18,3994,3696,NA,NA
Nordrhein-Westfalen,2021-05-18,131055,74078,NA,NA
Hessen,2021-05-18,40683,20734,NA,NA
Rheinland-Pfalz,2021-05-18,29200,20080,NA,NA
Baden-Württemberg,2021-05-18,66588,57504,NA,NA
Bayern,2021-05-18,91284,53743,NA,NA
Saarland,2021-05-18,6571,7064,NA,NA
Berlin,2021-05-18,28669,15914,NA,NA
Brandenburg,2021-05-18,14971,14318,NA,NA
Mecklenburg-Vorpommern,2021-05-18,10520,7896,NA,NA
Sachsen,2021-05-18,25953,16389,NA,NA
Sachsen-Anhalt,2021-05-18,11483,9336,NA,NA
Thüringen,2021-05-18,14775,8069,NA,NA
NA,2021-05-18,3552,2378,NA,NA
Schleswig-Holstein,2021-05-19,29706,22932,NA,NA
Hamburg,2021-05-19,8898,14715,NA,NA
Niedersachsen,2021-05-19,57012,56791,NA,NA
Bremen,2021-05-19,5765,4361,NA,NA
Nordrhein-Westfalen,2021-05-19,148921,126855,NA,NA
Hessen,2021-05-19,47161,34816,NA,NA
Rheinland-Pfalz,2021-05-19,32636,28873,NA,NA
Baden-Württemberg,2021-05-19,81109,74171,NA,NA
Bayern,2021-05-19,82661,91942,NA,NA
Saarland,2021-05-19,5775,9842,NA,NA
Berlin,2021-05-19,31280,21607,NA,NA
Brandenburg,2021-05-19,16757,17454,NA,NA
Mecklenburg-Vorpommern,2021-05-19,10449,12899,NA,NA
Sachsen,2021-05-19,26433,25523,NA,NA
Sachsen-Anhalt,2021-05-19,16893,13017,NA,NA
Thüringen,2021-05-19,16536,9363,NA,NA
NA,2021-05-19,3813,2797,NA,NA
Schleswig-Holstein,2021-05-20,21277,16525,NA,NA
Hamburg,2021-05-20,9351,13096,NA,NA
Niedersachsen,2021-05-20,41255,49925,NA,NA
Bremen,2021-05-20,4513,4305,NA,NA
Nordrhein-Westfalen,2021-05-20,106557,105479,NA,NA
Hessen,2021-05-20,36065,27415,NA,NA
Rheinland-Pfalz,2021-05-20,24712,23063,NA,NA
Baden-Württemberg,2021-05-20,71654,65848,NA,NA
Bayern,2021-05-20,56679,95187,NA,NA
Saarland,2021-05-20,4595,8963,NA,NA
Berlin,2021-05-20,27351,17957,NA,NA
Brandenburg,2021-05-20,14275,16391,NA,NA
Mecklenburg-Vorpommern,2021-05-20,8844,11996,NA,NA
Sachsen,2021-05-20,24141,22645,NA,NA
Sachsen-Anhalt,2021-05-20,12906,9787,NA,NA
Thüringen,2021-05-20,15221,9108,NA,NA
NA,2021-05-20,3876,3701,NA,NA
Schleswig-Holstein,2021-05-21,20593,14351,NA,NA
Hamburg,2021-05-21,6051,11210,NA,NA
Niedersachsen,2021-05-21,40224,45921,NA,NA
Bremen,2021-05-21,4955,3911,NA,NA
Nordrhein-Westfalen,2021-05-21,103023,92177,NA,NA
Hessen,2021-05-21,30137,25577,NA,NA
Rheinland-Pfalz,2021-05-21,19921,21131,NA,NA
Baden-Württemberg,2021-05-21,63572,53736,NA,NA
Bayern,2021-05-21,47483,79351,NA,NA
Saarland,2021-05-21,4350,8310,NA,NA
Berlin,2021-05-21,21375,14462,NA,NA
Brandenburg,2021-05-21,12065,10940,NA,NA
Mecklenburg-Vorpommern,2021-05-21,6852,7926,NA,NA
Sachsen,2021-05-21,14319,19888,NA,NA
Sachsen-Anhalt,2021-05-21,9856,7879,NA,NA
Thüringen,2021-05-21,12292,5710,NA,NA
NA,2021-05-21,1852,1708,NA,NA
Schleswig-Holstein,2021-05-22,11607,6029,NA,NA
Hamburg,2021-05-22,1523,6491,NA,NA
Niedersachsen,2021-05-22,12567,19643,NA,NA
Bremen,2021-05-22,2964,1853,NA,NA
Nordrhein-Westfalen,2021-05-22,49687,43511,NA,NA
Hessen,2021-05-22,14303,16484,NA,NA
Rheinland-Pfalz,2021-05-22,7453,6505,NA,NA
Baden-Württemberg,2021-05-22,36836,24652,NA,NA
Bayern,2021-05-22,14293,49511,NA,NA
Saarland,2021-05-22,1425,4893,NA,NA
Berlin,2021-05-22,12255,5150,NA,NA
Brandenburg,2021-05-22,4752,5429,NA,NA
Mecklenburg-Vorpommern,2021-05-22,1720,1509,NA,NA
Sachsen,2021-05-22,8027,11568,NA,NA
Sachsen-Anhalt,2021-05-22,2251,3218,NA,NA
Thüringen,2021-05-22,4043,4526,NA,NA
NA,2021-05-22,52,NA,NA,NA
Schleswig-Holstein,2021-05-23,8841,5109,NA,NA
Hamburg,2021-05-23,4126,6129,NA,NA
Niedersachsen,2021-05-23,966,4895,NA,NA
Bremen,2021-05-23,2107,1142,NA,NA
Nordrhein-Westfalen,2021-05-23,36907,34438,NA,NA
Hessen,2021-05-23,11906,12871,NA,NA
Rheinland-Pfalz,2021-05-23,3650,4129,NA,NA
Baden-Württemberg,2021-05-23,23557,22346,NA,NA
Bayern,2021-05-23,6343,36033,NA,NA
Saarland,2021-05-23,216,852,NA,NA
Berlin,2021-05-23,11646,4943,NA,NA
Brandenburg,2021-05-23,3,2,NA,NA
Mecklenburg-Vorpommern,2021-05-23,32,471,NA,NA
Sachsen,2021-05-23,8254,10329,NA,NA
Sachsen-Anhalt,2021-05-23,35,1127,NA,NA
Thüringen,2021-05-23,4116,4341,NA,NA
NA,2021-05-23,6,1,NA,NA
Schleswig-Holstein,2021-05-24,8902,4747,NA,NA
Hamburg,2021-05-24,1263,6901,NA,NA
Niedersachsen,2021-05-24,4199,10111,NA,NA
Bremen,2021-05-24,2568,1177,NA,NA
Nordrhein-Westfalen,2021-05-24,39603,39634,NA,NA
Hessen,2021-05-24,11423,12810,NA,NA
Rheinland-Pfalz,2021-05-24,7082,7592,NA,NA
Baden-Württemberg,2021-05-24,23204,22073,NA,NA
Bayern,2021-05-24,5426,42651,NA,NA
Saarland,2021-05-24,1241,4417,NA,NA
Berlin,2021-05-24,9520,4882,NA,NA
Brandenburg,2021-05-24,9262,369,NA,NA
Mecklenburg-Vorpommern,2021-05-24,989,3039,NA,NA
Sachsen,2021-05-24,8138,9882,NA,NA
Sachsen-Anhalt,2021-05-24,1838,2528,NA,NA
Thüringen,2021-05-24,7183,1176,NA,NA
NA,2021-05-24,9,NA,NA,NA
Schleswig-Holstein,2021-05-25,17146,8969,NA,NA
Hamburg,2021-05-25,9771,4195,NA,NA
Niedersachsen,2021-05-25,22509,36822,NA,NA
Bremen,2021-05-25,3119,2811,NA,NA
Nordrhein-Westfalen,2021-05-25,75567,84043,NA,NA
Hessen,2021-05-25,22451,26511,NA,NA
Rheinland-Pfalz,2021-05-25,15175,22369,NA,NA
Baden-Württemberg,2021-05-25,40354,45942,NA,NA
Bayern,2021-05-25,28911,66241,NA,NA
Saarland,2021-05-25,3447,6188,NA,NA
Berlin,2021-05-25,20960,12682,NA,NA
Brandenburg,2021-05-25,9686,11256,NA,NA
Mecklenburg-Vorpommern,2021-05-25,4738,9747,NA,NA
Sachsen,2021-05-25,13334,16175,NA,NA
Sachsen-Anhalt,2021-05-25,9576,11867,NA,NA
Thüringen,2021-05-25,12921,5363,NA,NA
NA,2021-05-25,2066,3041,NA,NA
Schleswig-Holstein,2021-05-26,30677,22472,NA,NA
Hamburg,2021-05-26,16069,10245,NA,NA
Niedersachsen,2021-05-26,56916,67824,NA,NA
Bremen,2021-05-26,5023,4562,NA,NA
Nordrhein-Westfalen,2021-05-26,140404,161385,NA,NA
Hessen,2021-05-26,42604,48625,NA,NA
Rheinland-Pfalz,2021-05-26,33221,36008,NA,NA
Baden-Württemberg,2021-05-26,74601,81079,NA,NA
Bayern,2021-05-26,64373,105848,NA,NA
Saarland,2021-05-26,6117,10052,NA,NA
Berlin,2021-05-26,31315,24424,NA,NA
Brandenburg,2021-05-26,17651,21892,NA,NA
Mecklenburg-Vorpommern,2021-05-26,9719,18289,NA,NA
Sachsen,2021-05-26,26290,29829,NA,NA
Sachsen-Anhalt,2021-05-26,17628,22269,NA,NA
Thüringen,2021-05-26,17629,12092,NA,NA
NA,2021-05-26,4989,4078,NA,NA
Schleswig-Holstein,2021-05-27,23244,14463,NA,NA
Hamburg,2021-05-27,10088,15676,NA,NA
Niedersachsen,2021-05-27,46009,55437,NA,NA
Bremen,2021-05-27,4277,4145,NA,NA
Nordrhein-Westfalen,2021-05-27,117290,133744,NA,NA
Hessen,2021-05-27,34308,36223,NA,NA
Rheinland-Pfalz,2021-05-27,22286,32251,NA,NA
Baden-Württemberg,2021-05-27,58133,69838,NA,NA
Bayern,2021-05-27,53476,82509,NA,NA
Saarland,2021-05-27,4375,8101,NA,NA
Berlin,2021-05-27,28599,19870,NA,NA
Brandenburg,2021-05-27,16913,19144,NA,NA
Mecklenburg-Vorpommern,2021-05-27,10605,15045,NA,NA
Sachsen,2021-05-27,26846,21008,NA,NA
Sachsen-Anhalt,2021-05-27,15428,17909,NA,NA
Thüringen,2021-05-27,17056,10042,NA,NA
NA,2021-05-27,7705,4379,NA,NA
Schleswig-Holstein,2021-05-28,21797,12355,NA,NA
Hamburg,2021-05-28,11964,6242,NA,NA
Niedersachsen,2021-05-28,39402,47413,NA,NA
Bremen,2021-05-28,4147,3561,NA,NA
Nordrhein-Westfalen,2021-05-28,111309,122835,NA,NA
Hessen,2021-05-28,33470,29141,NA,NA
Rheinland-Pfalz,2021-05-28,20424,24686,NA,NA
Baden-Württemberg,2021-05-28,53245,53776,NA,NA
Bayern,2021-05-28,40054,65447,NA,NA
Saarland,2021-05-28,4615,7212,NA,NA
Berlin,2021-05-28,24514,15070,NA,NA
Brandenburg,2021-05-28,17173,11844,NA,NA
Mecklenburg-Vorpommern,2021-05-28,7856,11999,NA,NA
Sachsen,2021-05-28,21257,16011,NA,NA
Sachsen-Anhalt,2021-05-28,12485,12841,NA,NA
Thüringen,2021-05-28,12573,6183,NA,NA
NA,2021-05-28,2594,2350,NA,NA
Schleswig-Holstein,2021-05-29,12799,5602,NA,NA
Hamburg,2021-05-29,3177,3002,NA,NA
Niedersachsen,2021-05-29,12567,20848,NA,NA
Bremen,2021-05-29,3215,1411,NA,NA
Nordrhein-Westfalen,2021-05-29,50518,66752,NA,NA
Hessen,2021-05-29,16181,16719,NA,NA
Rheinland-Pfalz,2021-05-29,6854,9849,NA,NA
Baden-Württemberg,2021-05-29,26650,30155,NA,NA
Bayern,2021-05-29,10189,38284,NA,NA
Saarland,2021-05-29,1384,4780,NA,NA
Berlin,2021-05-29,11041,5594,NA,NA
Brandenburg,2021-05-29,9799,2201,NA,NA
Mecklenburg-Vorpommern,2021-05-29,1744,3262,NA,NA
Sachsen,2021-05-29,10615,7586,NA,NA
Sachsen-Anhalt,2021-05-29,1579,3354,NA,NA
Thüringen,2021-05-29,3442,4757,NA,NA
NA,2021-05-29,14,2,NA,NA
Schleswig-Holstein,2021-05-30,8494,4992,NA,NA
Hamburg,2021-05-30,1161,9275,NA,NA
Niedersachsen,2021-05-30,8103,2326,NA,NA
Bremen,2021-05-30,2095,983,NA,NA
Nordrhein-Westfalen,2021-05-30,29277,52587,NA,NA
Hessen,2021-05-30,9929,14950,NA,NA
Rheinland-Pfalz,2021-05-30,3248,4808,NA,NA
Baden-Württemberg,2021-05-30,16600,29306,NA,NA
Bayern,2021-05-30,3059,31096,NA,NA
Saarland,2021-05-30,298,918,NA,NA
Berlin,2021-05-30,8450,5163,NA,NA
Brandenburg,2021-05-30,203,3,NA,NA
Mecklenburg-Vorpommern,2021-05-30,139,444,NA,NA
Sachsen,2021-05-30,7903,7486,NA,NA
Sachsen-Anhalt,2021-05-30,404,1683,NA,NA
Thüringen,2021-05-30,3112,4793,NA,NA
NA,2021-05-30,1,NA,NA,NA
Schleswig-Holstein,2021-05-31,13603,6957,NA,NA
Hamburg,2021-05-31,3331,10255,NA,NA
Niedersachsen,2021-05-31,21233,28686,NA,NA
Bremen,2021-05-31,3288,2397,NA,NA
Nordrhein-Westfalen,2021-05-31,51243,82864,NA,NA
Hessen,2021-05-31,18117,19361,NA,NA
Rheinland-Pfalz,2021-05-31,14800,18682,NA,NA
Baden-Württemberg,2021-05-31,32443,37358,NA,NA
Bayern,2021-05-31,22127,67140,NA,NA
Saarland,2021-05-31,3196,5529,NA,NA
Berlin,2021-05-31,15937,8244,NA,NA
Brandenburg,2021-05-31,9697,8941,NA,NA
Mecklenburg-Vorpommern,2021-05-31,4733,7895,NA,NA
Sachsen,2021-05-31,14645,11602,NA,NA
Sachsen-Anhalt,2021-05-31,7831,9950,NA,NA
Thüringen,2021-05-31,10445,3048,NA,NA
NA,2021-05-31,2662,2914,NA,NA
Schleswig-Holstein,2021-06-01,21819,15001,7,NA
Hamburg,2021-06-01,8645,14610,NA,NA
Niedersachsen,2021-06-01,40672,46302,13,NA
Bremen,2021-06-01,5351,3498,3,NA
Nordrhein-Westfalen,2021-06-01,116165,132383,177,NA
Hessen,2021-06-01,37473,33040,1,NA
Rheinland-Pfalz,2021-06-01,29514,25192,4,NA
Baden-Württemberg,2021-06-01,59181,62337,10,NA
Bayern,2021-06-01,59048,93162,22,NA
Saarland,2021-06-01,7099,8338,NA,NA
Berlin,2021-06-01,28418,18384,3,NA
Brandenburg,2021-06-01,18305,16163,NA,NA
Mecklenburg-Vorpommern,2021-06-01,9433,13457,2,NA
Sachsen,2021-06-01,24463,18026,4,NA
Sachsen-Anhalt,2021-06-01,14800,15645,2,NA
Thüringen,2021-06-01,16721,8427,1,NA
NA,2021-06-01,3184,3342,1,NA
Schleswig-Holstein,2021-06-02,30877,22138,7,NA
Hamburg,2021-06-02,12310,9070,NA,NA
Niedersachsen,2021-06-02,65339,56557,20,NA
Bremen,2021-06-02,5964,3728,2,NA
Nordrhein-Westfalen,2021-06-02,157081,170892,44,NA
Hessen,2021-06-02,54162,44025,4,NA
Rheinland-Pfalz,2021-06-02,37106,32612,7,NA
Baden-Württemberg,2021-06-02,74440,77101,12,NA
Bayern,2021-06-02,78684,107080,68,NA
Saarland,2021-06-02,8676,10456,NA,NA
Berlin,2021-06-02,33190,21061,4,NA
Brandenburg,2021-06-02,24579,16521,5,NA
Mecklenburg-Vorpommern,2021-06-02,12192,18086,2,NA
Sachsen,2021-06-02,30499,28269,NA,NA
Sachsen-Anhalt,2021-06-02,19831,17355,3,NA
Thüringen,2021-06-02,16828,11946,5,NA
NA,2021-06-02,4102,4777,1,NA
Schleswig-Holstein,2021-06-03,22354,16386,5,NA
Hamburg,2021-06-03,10969,7340,1,NA
Niedersachsen,2021-06-03,47732,48890,59,NA
Bremen,2021-06-03,5354,2922,NA,NA
Nordrhein-Westfalen,2021-06-03,17551,66256,25,NA
Hessen,2021-06-03,10142,14553,3,NA
Rheinland-Pfalz,2021-06-03,11689,8822,4,NA
Baden-Württemberg,2021-06-03,23372,34308,8,NA
Bayern,2021-06-03,7760,55569,51,NA
Saarland,2021-06-03,1742,4769,NA,NA
Berlin,2021-06-03,30342,16694,4,NA
Brandenburg,2021-06-03,22828,14783,5,NA
Mecklenburg-Vorpommern,2021-06-03,12252,15494,NA,NA
Sachsen,2021-06-03,26735,23238,1,NA
Sachsen-Anhalt,2021-06-03,17530,13512,3,NA
Thüringen,2021-06-03,14785,10203,NA,NA
NA,2021-06-03,2546,1852,NA,NA
Schleswig-Holstein,2021-06-04,21403,12709,29,NA
Hamburg,2021-06-04,8963,6306,7,NA
Niedersachsen,2021-06-04,39827,51520,130,NA
Bremen,2021-06-04,5576,2718,NA,NA
Nordrhein-Westfalen,2021-06-04,71352,109977,44,NA
Hessen,2021-06-04,17842,22383,2,NA
Rheinland-Pfalz,2021-06-04,20549,16931,6,NA
Baden-Württemberg,2021-06-04,45303,54295,4,NA
Bayern,2021-06-04,37060,75681,161,NA
Saarland,2021-06-04,3724,6526,1,NA
Berlin,2021-06-04,24764,14366,NA,NA
Brandenburg,2021-06-04,18272,9721,2,NA
Mecklenburg-Vorpommern,2021-06-04,9066,13942,2,NA
Sachsen,2021-06-04,15839,17314,2,NA
Sachsen-Anhalt,2021-06-04,12584,12456,1,NA
Thüringen,2021-06-04,10412,7381,NA,NA
NA,2021-06-04,1106,1695,35,NA
Schleswig-Holstein,2021-06-05,10404,6052,4,NA
Hamburg,2021-06-05,1643,9315,NA,NA
Niedersachsen,2021-06-05,13348,27522,18,NA
Bremen,2021-06-05,2926,1322,NA,NA
Nordrhein-Westfalen,2021-06-05,22370,81733,42,NA
Hessen,2021-06-05,8462,17729,2,NA
Rheinland-Pfalz,2021-06-05,7593,7169,4,NA
Baden-Württemberg,2021-06-05,27058,33943,5,NA
Bayern,2021-06-05,5507,55247,87,NA
Saarland,2021-06-05,1181,4656,NA,NA
Berlin,2021-06-05,11627,6650,1,NA
Brandenburg,2021-06-05,8093,2629,NA,NA
Mecklenburg-Vorpommern,2021-06-05,1218,4152,NA,NA
Sachsen,2021-06-05,5137,10954,2,NA
Sachsen-Anhalt,2021-06-05,1120,5097,NA,NA
Thüringen,2021-06-05,2640,7359,1,NA
NA,2021-06-05,7,205,NA,NA
Schleswig-Holstein,2021-06-06,6679,5971,6,NA
Hamburg,2021-06-06,219,6302,1,NA
Niedersachsen,2021-06-06,4243,10159,3,NA
Bremen,2021-06-06,1273,910,NA,NA
Nordrhein-Westfalen,2021-06-06,7524,66682,28,NA
Hessen,2021-06-06,6167,16065,1,NA
Rheinland-Pfalz,2021-06-06,4603,2852,6,NA
Baden-Württemberg,2021-06-06,14398,33551,3,NA
Bayern,2021-06-06,1734,40443,66,NA
Saarland,2021-06-06,261,849,NA,NA
Berlin,2021-06-06,10074,6136,3,NA
Brandenburg,2021-06-06,207,2,NA,NA
Mecklenburg-Vorpommern,2021-06-06,601,784,NA,NA
Sachsen,2021-06-06,4026,10492,3,NA
Sachsen-Anhalt,2021-06-06,27,1242,NA,NA
Thüringen,2021-06-06,1230,6761,NA,NA
NA,2021-06-06,2,NA,NA,NA
Schleswig-Holstein,2021-06-07,12202,8644,2,NA
Hamburg,2021-06-07,4033,7049,NA,NA
Niedersachsen,2021-06-07,21365,38983,16,NA
Bremen,2021-06-07,2715,2605,2,NA
Nordrhein-Westfalen,2021-06-07,43803,93635,34,NA
Hessen,2021-06-07,17552,26684,6,NA
Rheinland-Pfalz,2021-06-07,21913,13825,5,NA
Baden-Württemberg,2021-06-07,27752,47950,9,NA
Bayern,2021-06-07,23564,65568,38,NA
Saarland,2021-06-07,3124,6101,NA,NA
Berlin,2021-06-07,15848,12014,3,NA
Brandenburg,2021-06-07,14251,5928,NA,NA
Mecklenburg-Vorpommern,2021-06-07,5064,9304,1,NA
Sachsen,2021-06-07,12920,8646,NA,NA
Sachsen-Anhalt,2021-06-07,8896,9895,1,NA
Thüringen,2021-06-07,7577,5767,NA,NA
NA,2021-06-07,2386,2628,NA,NA
Schleswig-Holstein,2021-06-08,19876,19459,3,NA
Hamburg,2021-06-08,9375,14290,NA,NA
Niedersachsen,2021-06-08,41402,72652,20,NA
Bremen,2021-06-08,4284,4985,1,NA
Nordrhein-Westfalen,2021-06-08,84953,162243,29,NA
Hessen,2021-06-08,31692,51412,NA,NA
Rheinland-Pfalz,2021-06-08,30653,32109,6,NA
Baden-Württemberg,2021-06-08,58979,101596,4,NA
Bayern,2021-06-08,53976,118478,87,NA
Saarland,2021-06-08,6206,9755,NA,NA
Berlin,2021-06-08,23011,27383,NA,NA
Brandenburg,2021-06-08,22200,16052,1,NA
Mecklenburg-Vorpommern,2021-06-08,7804,15983,1,NA
Sachsen,2021-06-08,21211,20537,4,NA
Sachsen-Anhalt,2021-06-08,11558,21049,1,NA
Thüringen,2021-06-08,11487,14696,NA,NA
NA,2021-06-08,3449,2635,2,NA
Schleswig-Holstein,2021-06-09,28177,31621,3,NA
Hamburg,2021-06-09,11695,18609,NA,NA
Niedersachsen,2021-06-09,56783,100361,39,NA
Bremen,2021-06-09,5978,6393,NA,NA
Nordrhein-Westfalen,2021-06-09,116761,225588,30,NA
Hessen,2021-06-09,40940,69122,3,NA
Rheinland-Pfalz,2021-06-09,37817,38879,9,NA
Baden-Württemberg,2021-06-09,76726,122846,9,NA
Bayern,2021-06-09,75671,153498,132,NA
Saarland,2021-06-09,7128,12209,NA,NA
Berlin,2021-06-09,27001,33637,9,NA
Brandenburg,2021-06-09,25212,20675,1,NA
Mecklenburg-Vorpommern,2021-06-09,8576,21620,NA,NA
Sachsen,2021-06-09,28096,26867,3,NA
Sachsen-Anhalt,2021-06-09,14571,26286,1,NA
