Bundesland,date,dritte_alle
Thüringen,2021-08-30,4
Schleswig-Holstein,2021-08-31,6
Hamburg,2021-08-31,149
Niedersachsen,2021-08-31,149
Bremen,2021-08-31,19
Nordrhein-Westfalen,2021-08-31,1501
Hessen,2021-08-31,151
Rheinland-Pfalz,2021-08-31,77
Baden-Württemberg,2021-08-31,467
Bayern,2021-08-31,736
Saarland,2021-08-31,19
Berlin,2021-08-31,144
Brandenburg,2021-08-31,30
Mecklenburg-Vorpommern,2021-08-31,30
Sachsen,2021-08-31,11
Sachsen-Anhalt,2021-08-31,152
Thüringen,2021-08-31,24
Schleswig-Holstein,2021-09-01,1736
Hamburg,2021-09-01,138
Niedersachsen,2021-09-01,239
Bremen,2021-09-01,14
Nordrhein-Westfalen,2021-09-01,4908
Hessen,2021-09-01,1053
Rheinland-Pfalz,2021-09-01,564
Baden-Württemberg,2021-09-01,3496
Bayern,2021-09-01,2081
Saarland,2021-09-01,41
Berlin,2021-09-01,568
Brandenburg,2021-09-01,142
Mecklenburg-Vorpommern,2021-09-01,160
Sachsen,2021-09-01,83
Sachsen-Anhalt,2021-09-01,373
Thüringen,2021-09-01,107
Schleswig-Holstein,2021-09-02,494
Hamburg,2021-09-02,194
Niedersachsen,2021-09-02,651
Bremen,2021-09-02,24
Nordrhein-Westfalen,2021-09-02,5663
Hessen,2021-09-02,1163
Rheinland-Pfalz,2021-09-02,626
Baden-Württemberg,2021-09-02,4045
Bayern,2021-09-02,2404
Saarland,2021-09-02,68
Berlin,2021-09-02,578
Brandenburg,2021-09-02,528
Mecklenburg-Vorpommern,2021-09-02,88
Sachsen,2021-09-02,108
Sachsen-Anhalt,2021-09-02,462
Thüringen,2021-09-02,159
NA,2021-09-02,12
Schleswig-Holstein,2021-09-03,1674
Hamburg,2021-09-03,84
Niedersachsen,2021-09-03,446
Bremen,2021-09-03,28
Nordrhein-Westfalen,2021-09-03,4232
Hessen,2021-09-03,1202
Rheinland-Pfalz,2021-09-03,638
Baden-Württemberg,2021-09-03,3081
Bayern,2021-09-03,2024
Saarland,2021-09-03,50
Berlin,2021-09-03,507
Brandenburg,2021-09-03,366
Mecklenburg-Vorpommern,2021-09-03,49
Sachsen,2021-09-03,407
Sachsen-Anhalt,2021-09-03,699
Thüringen,2021-09-03,878
Schleswig-Holstein,2021-09-04,310
Hamburg,2021-09-04,2
Niedersachsen,2021-09-04,9
Bremen,2021-09-04,4
Nordrhein-Westfalen,2021-09-04,1290
Hessen,2021-09-04,329
Rheinland-Pfalz,2021-09-04,145
Baden-Württemberg,2021-09-04,1616
Bayern,2021-09-04,423
Berlin,2021-09-04,160
Brandenburg,2021-09-04,39
Mecklenburg-Vorpommern,2021-09-04,53
Sachsen,2021-09-04,135
Sachsen-Anhalt,2021-09-04,53
Thüringen,2021-09-04,89
Schleswig-Holstein,2021-09-05,306
Hamburg,2021-09-05,1
Niedersachsen,2021-09-05,38
Bremen,2021-09-05,1
Nordrhein-Westfalen,2021-09-05,740
Hessen,2021-09-05,513
Rheinland-Pfalz,2021-09-05,12
Baden-Württemberg,2021-09-05,1180
Bayern,2021-09-05,222
Berlin,2021-09-05,31
Brandenburg,2021-09-05,2
Mecklenburg-Vorpommern,2021-09-05,2
Sachsen,2021-09-05,91
Sachsen-Anhalt,2021-09-05,6
Thüringen,2021-09-05,196
Schleswig-Holstein,2021-09-06,314
Hamburg,2021-09-06,114
Niedersachsen,2021-09-06,284
Bremen,2021-09-06,585
Nordrhein-Westfalen,2021-09-06,3113
Hessen,2021-09-06,1650
Rheinland-Pfalz,2021-09-06,442
Baden-Württemberg,2021-09-06,3783
Bayern,2021-09-06,2067
Saarland,2021-09-06,283
Berlin,2021-09-06,544
Brandenburg,2021-09-06,80
Mecklenburg-Vorpommern,2021-09-06,93
Sachsen,2021-09-06,281
Sachsen-Anhalt,2021-09-06,760
Thüringen,2021-09-06,756
Schleswig-Holstein,2021-09-07,1047
Hamburg,2021-09-07,261
Niedersachsen,2021-09-07,722
Bremen,2021-09-07,441
Nordrhein-Westfalen,2021-09-07,6269
Hessen,2021-09-07,1835
Rheinland-Pfalz,2021-09-07,1043
Baden-Württemberg,2021-09-07,4440
Bayern,2021-09-07,2924
Saarland,2021-09-07,313
Berlin,2021-09-07,890
Brandenburg,2021-09-07,534
Mecklenburg-Vorpommern,2021-09-07,124
Sachsen,2021-09-07,396
Sachsen-Anhalt,2021-09-07,862
Thüringen,2021-09-07,801
NA,2021-09-07,4
Schleswig-Holstein,2021-09-08,2110
Hamburg,2021-09-08,366
Niedersachsen,2021-09-08,806
Bremen,2021-09-08,587
Nordrhein-Westfalen,2021-09-08,7092
Hessen,2021-09-08,2418
Rheinland-Pfalz,2021-09-08,1418
Baden-Württemberg,2021-09-08,4694
Bayern,2021-09-08,3026
Saarland,2021-09-08,314
Berlin,2021-09-08,1209
Brandenburg,2021-09-08,342
Mecklenburg-Vorpommern,2021-09-08,293
Sachsen,2021-09-08,505
Sachsen-Anhalt,2021-09-08,1206
Thüringen,2021-09-08,644
NA,2021-09-08,13
Schleswig-Holstein,2021-09-09,1848
Hamburg,2021-09-09,376
Niedersachsen,2021-09-09,911
Bremen,2021-09-09,561
Nordrhein-Westfalen,2021-09-09,7621
Hessen,2021-09-09,2223
Rheinland-Pfalz,2021-09-09,1810
Baden-Württemberg,2021-09-09,4666
Bayern,2021-09-09,4162
Saarland,2021-09-09,342
Berlin,2021-09-09,1295
Brandenburg,2021-09-09,637
Mecklenburg-Vorpommern,2021-09-09,257
Sachsen,2021-09-09,481
Sachsen-Anhalt,2021-09-09,974
Thüringen,2021-09-09,561
NA,2021-09-09,25
Schleswig-Holstein,2021-09-10,960
Hamburg,2021-09-10,146
