id,EW_insgesamt,EW80,todesfaelle80,todesfaellegesamt
16062,83416,7222,2,4
16063,118974,9429,1,3
16064,102232,8228,14,18
16065,74212,6352,5,6
16066,124916,10443,11,16
16067,134908,10759,30,38
16068,69427,4961,2,5
16069,63197,4874,5,7
16070,106249,8719,3,7
16071,82156,5719,7,8
16072,57717,5193,28,37
16073,103199,9907,5,10
16074,82950,6691,9,12
16075,80312,6736,11,13
16076,97398,9355,31,49
16077,89393,8953,2,6
