Datum,hersteller,dosen_pro_tag,Verteilungsszenario,zweit_neu
2021-07-12,BNT/Pfizer,377174,Gleichverteilung,417423
2021-07-13,BNT/Pfizer,377174,Gleichverteilung,417423
2021-07-14,BNT/Pfizer,377174,Gleichverteilung,417423
2021-07-15,BNT/Pfizer,377174,Gleichverteilung,417423
2021-07-16,BNT/Pfizer,377174,Gleichverteilung,417423
2021-07-17,BNT/Pfizer,377174,Gleichverteilung,417423
2021-07-18,BNT/Pfizer,377174,Gleichverteilung,417423
2021-10-14,BNT/Pfizer,146739,Gleichverteilung,327600
2021-10-15,BNT/Pfizer,146739,Gleichverteilung,327600
2021-10-16,BNT/Pfizer,146739,Gleichverteilung,327600
2021-10-17,BNT/Pfizer,146739,Gleichverteilung,327600
2021-10-18,BNT/Pfizer,146739,Gleichverteilung,326933
2021-10-19,BNT/Pfizer,146739,Gleichverteilung,326933
2021-10-20,BNT/Pfizer,146739,Gleichverteilung,326933
2021-10-21,BNT/Pfizer,146739,Gleichverteilung,377174
2021-10-22,BNT/Pfizer,146739,Gleichverteilung,377174
2021-10-23,BNT/Pfizer,146739,Gleichverteilung,377174
2021-10-24,BNT/Pfizer,146739,Gleichverteilung,377174
2021-10-25,BNT/Pfizer,146739,Gleichverteilung,377174
2021-10-26,BNT/Pfizer,146739,Gleichverteilung,377174
2021-10-27,BNT/Pfizer,146739,Gleichverteilung,377174
2021-10-28,BNT/Pfizer,146739,Gleichverteilung,377174
2021-07-10,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,378917
2021-07-11,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,383235
2021-07-12,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,390896
2021-07-13,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,395213
2021-07-14,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,399531
2021-07-15,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,403849
2021-07-16,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,408166
2021-07-17,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,412484
2021-07-18,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,416802
2021-07-27,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,378561
2021-07-28,BNT/Pfizer,377174,Linearer Anstieg der Produktion in Q2,380273
2021-10-21,BNT/Pfizer,146739,Linearer Anstieg der Produktion in Q2,317495
2021-10-22,BNT/Pfizer,146739,Linearer Anstieg der Produktion in Q2,321813
2021-10-23,BNT/Pfizer,146739,Linearer Anstieg der Produktion in Q2,326130
2021-10-24,BNT/Pfizer,146739,Linearer Anstieg der Produktion in Q2,330448
2021-10-25,BNT/Pfizer,146739,Linearer Anstieg der Produktion in Q2,357329
2021-10-26,BNT/Pfizer,146739,Linearer Anstieg der Produktion in Q2,361646
2021-10-27,BNT/Pfizer,146739,Linearer Anstieg der Produktion in Q2,365964
2021-10-28,BNT/Pfizer,146739,Linearer Anstieg der Produktion in Q2,370282
2021-04-05,Moderna,38400,Linearer Anstieg der Produktion in Q2,46971
2021-04-06,Moderna,38827,Linearer Anstieg der Produktion in Q2,46971
2021-04-07,Moderna,39253,Linearer Anstieg der Produktion in Q2,46971
2021-04-08,Moderna,39680,Linearer Anstieg der Produktion in Q2,46971
2021-04-09,Moderna,40107,Linearer Anstieg der Produktion in Q2,46971
2021-04-10,Moderna,40533,Linearer Anstieg der Produktion in Q2,46971
2021-04-11,Moderna,40960,Linearer Anstieg der Produktion in Q2,46971
