"";"RS";"Kreis";"Verhältnis"
"164";9772000;"Augsburg";1,12026490802734
"165";5120000;"Remscheid, Stadt";1,13197524243055
"166";9276000;"Regen";1,13366596583578
"167";8426000;"Biberach";1,13416125323616
"168";5966000;"Olpe";1,13786239798329
"169";1062000;"Stormarn";1,13808714601267
"170";5770000;"Minden-Lübbecke";1,14217328658844
"171";9679000;"Würzburg";1,14256065045632
"172";9173000;"Bad Tölz-Wolfratshausen";1,1431889098665
"173";3358000;"Heidekreis";1,14427672994752
"174";5370000;"Heinsberg";1,14513291058875
"175";7141000;"Rhein-Lahn-Kreis";1,1496463960878
"176";8111000;"Stuttgart, Stadt";1,15328335103928
"177";9186000;"Pfaffenhofen a.d.Ilm";1,15375723550305
"178";12069000;"Potsdam-Mittelmark";1,15952399637083
"179";15002000;"Halle (Saale), Stadt";1,16336317277778
"180";9776000;"Lindau (Bodensee)";1,1643388079129
"181";6414000;"Wiesbaden, Stadt";1,16823634251208
"182";5112000;"Duisburg, Stadt";1,1718660827723
"183";16054000;"Suhl, Stadt";1,19102912700102
"184";9273000;"Kelheim";1,19278545822656
"185";6635000;"Waldeck-Frankenberg";1,19565528183159
"186";1054000;"Nordfriesland";1,1985626693991
"187";8127000;"Schwäbisch Hall";1,19899840526056
"188";9562000;"Erlangen, Stadt";1,20525958610493
"189";3159000;"Göttingen";1,20543457554144
"190";9662000;"Schweinfurt, Stadt";1,20891119554342
"191";9279000;"Dingolfing-Landau";1,21056037891777
"192";9462000;"Bayreuth, Stadt";1,21408742494379
"193";9476000;"Kronach";1,21972768853912
"194";5166000;"Viersen";1,22343571434397
"195";5315000;"Köln, Stadt";1,22609829454453
"196";5566000;"Steinfurt";1,22771224730464
"197";7331000;"Alzey-Worms";1,2301082171029
"198";6534000;"Marburg-Biedenkopf";1,24269923357649
"199";8316000;"Emmendingen";1,24399033968291
"200";7232000;"Eifelkreis Bitburg-Prüm";1,24611007307993
"201";5111000;"Düsseldorf, Stadt";1,25344255962527
"202";7135000;"Cochem-Zell";1,25650535864999
"203";8436000;"Ravensburg";1,25703366433309
"204";9189000;"Traunstein";1,26133882938856
"205";9763000;"Kempten (Allgäu), Stadt";1,2647004192061
"206";6436000;"Main-Taunus-Kreis";1,2688760636165
"207";8335000;"Konstanz";1,27180166267475
"208";1059000;"Schleswig-Flensburg";1,27296336331037
"209";6431000;"Bergstraße";1,27426474012566
"210";9174000;"Dachau";1,27520494820938
"211";3157000;"Peine";1,27943809771826
"212";8118000;"Ludwigsburg";1,28306008313603
"213";5554000;"Borken";1,28916244317931
"214";7132000;"Altenkirchen (Westerwald)";1,29261817805796
"215";9577000;"Weißenburg-Gunzenhausen";1,29565688406092
"216";1058000;"Rendsburg-Eckernförde";1,29729958744632
"217";12054000;"Potsdam, Stadt";1,30086784894489
"218";9187000;"Rosenheim";1,30169511406061
"219";8226000;"Rhein-Neckar-Kreis";1,30420468851777
"220";9779000;"Donau-Ries";1,31292026817404
"221";3456000;"Grafschaft Bentheim";1,3230340059507
"222";6434000;"Hochtaunuskreis";1,32538215506435
"223";5978000;"Unna";1,32588965524767
"224";8416000;"Tübingen";1,32871897813242
"225";3151000;"Gifhorn";1,33453431373827
"226";1002000;"Kiel, Stadt";1,33599172793412
"227";9564000;"Nürnberg, Stadt";1,33684230761159
"228";6631000;"Fulda";1,34430168135759
"229";5116000;"Mönchengladbach, Stadt";1,35201805476376
"230";7134000;"Birkenfeld";1,35272295555456
"231";6532000;"Lahn-Dill-Kreis";1,35305313686361
"232";9177000;"Erding";1,35478629466088
"233";7338000;"Rhein-Pfalz-Kreis";1,37975701302491
"234";8317000;"Ortenaukreis";1,3810514169387
"235";9678000;"Schweinfurt";1,38178484711483
"236";7317000;"Pirmasens, Stadt";1,38201205780364
"237";3453000;"Cloppenburg";1,38656770794352
"238";6411000;"Darmstadt, Stadt";1,40441885959445
"239";7111000;"Koblenz, Stadt";1,40857977334095
"240";5366000;"Euskirchen";1,41588714569211
"241";5158000;"Mettmann";1,42353649310155
"242";9375000;"Regensburg";1,42448916803021
"243";8325000;"Rottweil";1,42919107524344
"244";3452000;"Aurich";1,43129238377635
"245";7318000;"Speyer, Stadt";1,43408402752159
"246";15091000;"Wittenberg";1,43498066956012
"247";3153000;"Goslar";1,43638411323105
"248";6433000;"Groß-Gerau";1,43798084613171
"249";9673000;"Rhön-Grabfeld";1,44146218084251
"250";13072000;"Landkreis Rostock";1,44660708954335
"251";5334000;"Städteregion Aachen";1,44816280523909
"252";8326000;"Schwarzwald-Baar-Kreis";1,45291934300509
"253";5119000;"Oberhausen, Stadt";1,45949779667495
"254";8225000;"Neckar-Odenwald-Kreis";1,46092467486865
"255";9272000;"Freyung-Grafenau";1,46727281531681
"256";9565000;"Schwabach, Stadt";1,48217093129118
"257";10042000;"Merzig-Wadern";1,4842542583231
"258";8128000;"Main-Tauber-Kreis";1,48628834232447
"259";9377000;"Tirschenreuth";1,49343562109877
"260";6633000;"Kassel";1,4943364537867
"261";3154000;"Helmstedt";1,49577149275472
"262";9761000;"Augsburg, Stadt";1,49658316255227
"263";8235000;"Calw";1,4983482130256
"264";8236000;"Enzkreis";1,50711849384223
"265";6636000;"Werra-Meißner-Kreis";1,51555608532183
"266";16053000;"Jena, Stadt";1,51613125763071
"267";3255000;"Holzminden";1,51798769442338
"268";9371000;"Amberg-Sulzbach";1,52410287807462
"269";6439000;"Rheingau-Taunus-Kreis";1,5286224337971
"270";9774000;"Günzburg";1,53738165295669
"271";15086000;"Jerichower Land";1,54939605524504
"272";3158000;"Wolfenbüttel";1,55250769976247
"273";9575000;"Neustadt a.d.Aisch-Bad Windsheim";1,55984942724165
"274";9463000;"Coburg, Stadt";1,57440731897106
"275";13074000;"Nordwestmecklenburg";1,59282548273112
"276";9263000;"Straubing, Stadt";1,59520364138413
"277";3356000;"Osterholz";1,60116263787738
"278";16056000;"Eisenach, Stadt";1,62362861811391
"279";9363000;"Weiden i.d.OPf., Stadt";1,64343057006181
"280";6438000;"Offenbach";1,6551369498691
"281";16065000;"Kyffhäuserkreis";1,65948518478094
"282";9676000;"Miltenberg";1,66008811605861
"283";9674000;"Haßberge";1,66033999999878
"284";9473000;"Coburg";1,66044727718249
"285";9479000;"Wunsiedel i.Fichtelgebirge";1,68256368130819
"286";3459000;"Osnabrück";1,68497430071807
"287";1060000;"Segeberg";1,68635343710535
"288";14713000;"Leipzig, Stadt";1,72321261031307
"289";16052000;"Gera, Stadt";1,72498337123723
"290";7138000;"Neuwied";1,73291919211544
"291";9573000;"Fürth";1,73333997267498
"292";7332000;"Bad Dürkheim";1,73334572052137
"293";8135000;"Heidenheim";1,73811517792579
"294";9461000;"Bamberg, Stadt";1,73930194274981
"295";8231000;"Pforzheim, Stadt";1,7419684488087
"296";7131000;"Ahrweiler";1,75486134629174
"297";8136000;"Ostalbkreis";1,75718566446745
"298";7333000;"Donnersbergkreis";1,75881689052845
"299";15090000;"Stendal";1,76884927429665
"300";9275000;"Passau";1,78871218122445
