"Kennziffer";"Raumeinheit";"Aggregat";"Einwohner 65 Jahre und älter";"Einwohnerdichte";"Frauenanteil";"Ausländeranteil";"Anteil Schutzsuchender an Bevölkerung";"Haushalte mit niedrigem Einkommen";"Stimmenanteile AfD";"Wahlbeteiligung"
11000;"Berlin, Stadt";"krsfr. Stadt";19,2;4055;50,8;17,6;2,5;40,3;12;74,7
12051;"Brandenburg an der Havel, Stadt";"krsfr. Stadt";27,3;313;50,6;4,8;2,2;39;17,3;64,7
12052;"Cottbus, Stadt";"krsfr. Stadt";24,7;610;50,7;8,1;4,9;36,8;24,3;71,7
12053;"Frankfurt (Oder), Stadt";"krsfr. Stadt";25,2;394;51,6;9,8;2,4;39,1;21,9;68,2
12054;"Potsdam, Stadt";"krsfr. Stadt";19,6;933;51,6;8;2,3;34,8;12,8;78,1
12060;"Barnim";"Landkreis";23,3;122;50,4;3,8;1,1;34,9;20,6;73,4
12061;"Dahme-Spreewald";"Landkreis";23,8;74;50,4;4,4;1,1;34,6;21,4;75,2
12062;"Elbe-Elster";"Landkreis";27,4;54;50,4;2,8;1,2;37,1;24,2;73,1
12063;"Havelland";"Landkreis";22,1;93;50,5;4;1,2;35,4;18;72,8
12064;"Märkisch-Oderland";"Landkreis";23,5;89;50,4;2,8;0,9;36,8;20,8;72,8
12065;"Oberhavel";"Landkreis";22,5;116;50,7;3,6;1,3;34,7;19,3;73,9
12066;"Oberspreewald-Lausitz";"Landkreis";28,3;91;50,9;3,2;1,2;37,1;25,9;70,7
12067;"Oder-Spree";"Landkreis";25,8;79;50,9;3,9;2,7;36;22,1;71,7
12068;"Ostprignitz-Ruppin";"Landkreis";24,7;39;50,2;3,5;1,5;38,2;18,5;67,1
12069;"Potsdam-Mittelmark";"Landkreis";21,9;82;50,5;4;0,9;32,3;15,4;76,8
12070;"Prignitz";"Landkreis";27,4;36;50,2;4,2;1,8;38,4;18,3;68,5
12071;"Spree-Neiße";"Landkreis";27;70;50,8;3,2;;36,5;28,9;73,7
12072;"Teltow-Fläming";"Landkreis";22,3;79;50,2;4,8;1,3;35,9;20;72,4
12073;"Uckermark";"Landkreis";27;39;51;4;1,4;39,4;20,8;68,3
13003;"Rostock, Stadt";"krsfr. Stadt";23,5;1149;50,7;5,9;1,9;44,1;14,7;71,5
13004;"Schwerin, Stadt";"krsfr. Stadt";25,1;734;51,9;8,8;4,1;39,5;15,6;71,8
13071;"Mecklenburgische Seenplatte";"Landkreis";25;47;50,9;3,1;1,3;41;19,6;68,4
13072;"Landkreis Rostock";"Landkreis";23,2;63;50,3;3;1,1;40,1;18,2;72
13073;"Vorpommern-Rügen";"Landkreis";25,4;70;50,8;3,9;1,2;42,2;20,5;68,6
13074;"Nordwestmecklenburg";"Landkreis";22,9;74;50,2;3,4;1,1;39,8;17;69,7
13075;"Vorpommern-Greifswald";"Landkreis";24,5;60;50,9;4,1;1,1;42;22,7;68,9
13076;"Ludwigslust-Parchim";"Landkreis";23,1;45;50,1;4,6;1,2;38,2;17,7;71
14511;"Chemnitz, Stadt";"krsfr. Stadt";27,6;1117;50,7;7,4;3;41,4;24,3;74,5
14521;"Erzgebirgskreis";"Landkreis";28,8;186;51,1;1,9;0,8;39,7;28,9;74,5
14522;"Mittelsachsen";"Landkreis";27,6;146;50,3;3,1;0,9;38,3;30,4;74,2
14523;"Vogtlandkreis";"Landkreis";29,5;163;51,3;3,3;1,2;39,8;26,4;73
14524;"Zwickau";"Landkreis";28,8;337;51,2;3,1;1,1;39,4;26;72,2
14612;"Dresden, Stadt";"krsfr. Stadt";21,8;1678;50,2;7;1,8;40,3;22,5;78,4
14625;"Bautzen";"Landkreis";26,9;126;50,6;2;0,8;37,3;32,5;74,6
14626;"Görlitz";"Landkreis";29,1;122;51;4,2;0,9;38,9;32,9;72,2
14627;"Meißen";"Landkreis";27;167;50,7;2,9;1;38,5;32,9;75
14628;"Sächsische Schweiz-Osterzgebirge";"Landkreis";27,1;148;50,7;2,6;0,8;38,3;35,5;76,2
14713;"Leipzig, Stadt";"krsfr. Stadt";20,5;1954;50,9;9;2,5;43,6;18,3;74,4
14729;"Leipzig";"Landkreis";26,1;156;51;2,3;0,9;37,8;26,9;73,9
14730;"Nordsachsen";"Landkreis";25,2;98;50,3;3,7;1,1;38,3;26,9;71,1
