"";"Kreis";"AG_rki";"ges";"m";"w"
"251";3359;5;44626;21363;23263
"252";3359;6;12969;5137;7832
"253";3360;1;3644;1854;1790
"254";3360;2;7676;3938;3738
"255";3360;3;18625;9695;8930
"256";3360;4;31806;15732;16074
"257";3360;5;22845;10887;11958
"258";3360;6;7793;3031;4762
"259";3361;1;6878;3476;3402
"260";3361;2;13154;6680;6474
"261";3361;3;28907;15045;13862
"262";3361;4;47695;23442;24253
"263";3361;5;31395;15099;16296
"264";3361;6;9104;3557;5547
"265";3401;1;4223;2136;2087
"266";3401;2;7166;3728;3438
"267";3401;3;17987;9407;8580
"268";3401;4;26079;13036;13043
"269";3401;5;17032;7964;9068
"270";3401;6;5072;2042;3030
"271";3402;1;2394;1249;1145
"272";3402;2;4447;2332;2115
"273";3402;3;12689;6646;6043
"274";3402;4;16541;8379;8162
"275";3402;5;10626;5056;5570
"276";3402;6;3216;1222;1994
"277";3403;1;7553;3804;3749
"278";3403;2;14070;7138;6932
"279";3403;3;48935;24199;24736
"280";3403;4;55940;27024;28916
"281";3403;5;32838;15227;17611
"282";3403;6;9741;3627;6114
"283";3404;1;7434;3763;3671
"284";3404;2;13346;6843;6503
"285";3404;3;51939;25775;26164
"286";3404;4;52270;26003;26267
"287";3404;5;30014;13847;16167
"288";3404;6;10248;3650;6598
"289";3405;1;3290;1654;1636
"290";3405;2;5940;3051;2889
"291";3405;3;18788;10119;8669
"292";3405;4;23244;11575;11669
"293";3405;5;18471;8585;9886
"294";3405;6;6356;2460;3896
"295";3451;1;5884;2995;2889
"296";3451;2;11657;5976;5681
"297";3451;3;26151;13384;12767
"298";3451;4;43596;21335;22261
"299";3451;5;28859;13722;15137
"300";3451;6;8712;3494;5218
"301";3452;1;8360;4332;4028
"302";3452;2;16935;8809;8126
"303";3452;3;40921;21354;19567
"304";3452;4;65471;32271;33200
"305";3452;5;45999;22019;23980
"306";3452;6;12008;4531;7477
"307";3453;1;9744;4985;4759
"308";3453;2;18429;9507;8922
"309";3453;3;44333;23523;20810
"310";3453;4;59024;30302;28722
"311";3453;5;30392;14878;15514
"312";3453;6;8760;3241;5519
"313";3454;1;16504;8417;8087
"314";3454;2;31862;16413;15449
"315";3454;3;78692;42245;36447
"316";3454;4;114818;59465;55353
"317";3454;5;66804;32769;34035
"318";3454;6;18274;7023;11251
"319";3455;1;4303;2240;2063
"320";3455;2;8381;4344;4037
"321";3455;3;19679;10177;9502
"322";3455;4;33435;16263;17172
"323";3455;5;25066;12043;13023
"324";3455;6;7840;3112;4728
"325";3456;1;6730;3441;3289
"326";3456;2;13570;6975;6595
"327";3456;3;31078;16311;14767
"328";3456;4;48030;24308;23722
"329";3456;5;28991;14198;14793
"330";3456;6;8763;3425;5338
"331";3457;1;8193;4242;3951
"332";3457;2;15855;8079;7776
"333";3457;3;38974;20459;18515
"334";3457;4;59318;30081;29237
"335";3457;5;38002;18333;19669
"336";3457;6;10414;4017;6397
"337";3458;1;6132;3160;2972
"338";3458;2;12195;6281;5914
"339";3458;3;27626;14474;13152
"340";3458;4;47601;23579;24022
"341";3458;5;28779;14009;14770
"342";3458;6;8557;3370;5187
"343";3459;1;17874;9210;8664
"344";3459;2;34571;17908;16663
"345";3459;3;79713;41902;37811
"346";3459;4;125577;62773;62804
"347";3459;5;75943;36763;39180
"348";3459;6;24402;9181;15221
"349";3460;1;7989;4052;3937
"350";3460;2;15154;7824;7330
"351";3460;3;37759;19674;18085
"352";3460;4;49646;25454;24192
"353";3460;5;25069;12381;12688
"354";3460;6;7197;2710;4487
"355";3461;1;3825;1967;1858
"356";3461;2;7635;3992;3643
"357";3461;3;18922;10013;8909
"358";3461;4;30688;15490;15198
"359";3461;5;21077;10432;10645
"360";3461;6;6436;2521;3915
"361";3462;1;2351;1220;1131
"362";3462;2;5068;2638;2430
"363";3462;3;11786;6087;5699
"364";3462;4;19242;9467;9775
"365";3462;5;14381;6910;7471
"366";3462;6;4098;1578;2520
"367";4011;1;28154;14603;13551
"368";4011;2;48458;25085;23373
"369";4011;3;147443;76737;70706
"370";4011;4;189949;96066;93883
"371";4011;5;115516;53840;61676
"372";4011;6;38039;14050;23989
"373";4012;1;5874;3052;2822
"374";4012;2;10757;5572;5185
"375";4012;3;27409;14500;12909
"376";4012;4;36964;19097;17867
"377";4012;5;25156;11665;13491
"378";4012;6;7483;2734;4749
"379";5111;1;31407;16258;15149
"380";5111;2;54091;27709;26382
"381";5111;3;160799;78207;82592
"382";5111;4;220553;111061;109492
"383";5111;5;116000;52690;63310
"384";5111;6;39027;14582;24445
"385";5112;1;25704;13326;12378
"386";5112;2;45924;23714;22210
"387";5112;3;123127;64216;58911
"388";5112;4;169476;85951;83525
"389";5112;5;100250;46946;53304
"390";5112;6;34205;12707;21498
"391";5113;1;29036;14883;14153
"392";5113;2;50838;26158;24680
"393";5113;3;143102;72397;70705
"394";5113;4;194927;97604;97323
"395";5113;5;123094;56852;66242
"396";5113;6;41763;14975;26788
"397";5114;1;10899;5571;5328
"398";5114;2;20397;10634;9763
"399";5114;3;52378;27287;25091
"400";5114;4;78306;38772;39534
"401";5114;5;49357;22701;26656
"402";5114;6;16080;6050;10030
"403";5116;1;12788;6631;6157
"404";5116;2;23297;12005;11292
"405";5116;3;62642;32291;30351
"406";5116;4;89227;44679;44548
"407";5116;5;56164;26551;29613
"408";5116;6;16916;6310;10606
"409";5117;1;8184;4214;3970
"410";5117;2;15035;7732;7303
"411";5117;3;36754;19121;17633
"412";5117;4;58081;28445;29636
"413";5117;5;38863;17695;21168
"414";5117;6;13715;5035;8680
"415";5119;1;10031;5187;4844
"416";5119;2;18347;9351;8996
"417";5119;3;47634;24759;22875
"418";5119;4;72986;36814;36172
"419";5119;5;46894;21975;24919
"420";5119;6;14872;5483;9389
"421";5120;1;5425;2746;2679
"422";5120;2;10212;5195;5017
"423";5120;3;24487;12618;11869
"424";5120;4;38882;19881;19001
"425";5120;5;24388;11493;12895
"426";5120;6;7944;2955;4989
"427";5122;1;7731;3994;3737
"428";5122;2;14679;7561;7118
"429";5122;3;35900;18244;17656
"430";5122;4;55927;27456;28471
"431";5122;5;33421;15717;17704
"432";5122;6;11587;4334;7253
"433";5124;1;17932;9154;8778
"434";5124;2;33177;17064;16113
"435";5124;3;87534;45023;42511
"436";5124;4;119798;60353;59445
"437";5124;5;72645;33629;39016
"438";5124;6;24014;8910;15104
"439";5154;1;14446;7436;7010
"440";5154;2;28151;14538;13613
"441";5154;3;72135;37895;34240
"442";5154;4;110191;55384;54807
"443";5154;5;68028;32865;35163
"444";5154;6;19514;7344;12170
"445";5158;1;22968;11808;11160
"446";5158;2;44405;22625;21780
"447";5158;3;97440;49966;47474
"448";5158;4;170462;83385;87077
"449";5158;5;112046;51542;60504
"450";5158;6;38249;15302;22947
"451";5162;1;22161;11367;10794
"452";5162;2;42858;22111;20747
"453";5162;3;92587;47615;44972
"454";5162;4;162829;79665;83164
"455";5162;5;99678;46349;53329
"456";5162;6;31617;12438;19179
"457";5166;1;13258;6854;6404
"458";5166;2;26214;13344;12870
"459";5166;3;62114;31981;30133
"460";5166;4;108200;53295;54905
"461";5166;5;68231;32313;35918
"462";5166;6;20846;8039;12807
"463";5170;1;20479;10542;9937
"464";5170;2;39478;20315;19163
"465";5170;3;94935;49165;45770
"466";5170;4;160741;78735;82006
"467";5170;5;110351;52198;58153
"468";5170;6;33992;13001;20991
"469";5314;1;16438;8470;7968
"470";5314;2;31471;16322;15149
"471";5314;3;93907;45855;48052
